city_id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,66.45,broken clouds,-20.3428,57.7575,
1,Port Elizabeth,ZA,71.89,clear sky,-33.918,25.5701,
2,Steamboat Springs,US,71.19,clear sky,40.485,-106.8317,
5,Bradu,RO,64.02,clear sky,44.7833,24.9,
9,Kirakira,SB,83.64,overcast clouds,-10.4544,161.9205,
11,Vaini,TO,80.76,few clouds,-21.2,-175.2,
13,East London,ZA,67.14,clear sky,-33.0153,27.9116,
16,Rikitea,PF,75.51,overcast clouds,-23.1203,-134.9692,
17,Fairbanks,US,67.01,broken clouds,64.8378,-147.7164,
18,Faanui,PF,79.92,clear sky,-16.4833,-151.75,
20,Cherskiy,RU,72.68,broken clouds,68.75,161.3,
22,Lexington,US,66.09,light rain,37.9887,-84.4777,
24,Avarua,CK,77.05,clear sky,-21.2078,-159.775,
26,Cape Town,ZA,63.88,broken clouds,-33.9258,18.4232,
28,Grand Gaube,MU,66.6,broken clouds,-20.0064,57.6608,
30,Nara,JP,82.49,overcast clouds,34.6851,135.8049,
31,Tutoia,BR,76.8,clear sky,-2.7619,-42.2744,
32,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,
34,Hilo,US,78.53,overcast clouds,19.7297,-155.09,
39,Hithadhoo,MV,83.68,scattered clouds,-0.6,73.0833,
40,Birao,CF,76.48,overcast clouds,10.2849,22.7882,
41,Albany,US,72.0,overcast clouds,42.6001,-73.9662,
42,Saint-Philippe,RE,65.79,overcast clouds,-21.3585,55.7679,
46,Craig,US,73.02,overcast clouds,40.5153,-107.5464,
47,Corn Island,NI,82.92,overcast clouds,12.1694,-83.0418,
50,Abonnema,NG,73.15,moderate rain,4.7084,6.7931,
51,Tomatlan,MX,78.91,overcast clouds,19.9333,-105.25,
52,Atambua,ID,84.54,few clouds,-9.1061,124.8925,
54,Bredasdorp,ZA,61.92,scattered clouds,-34.5322,20.0403,
55,Carutapera,BR,74.25,clear sky,-1.195,-46.02,
56,Jacareacanga,BR,72.72,clear sky,-6.2222,-57.7528,
60,Atuona,PF,79.03,light rain,-9.8,-139.0333,
61,Ribeira Grande,PT,65.43,overcast clouds,38.5167,-28.7,
64,Mount Isa,AU,80.37,overcast clouds,-20.7333,139.5,
67,El Alto,PE,65.19,broken clouds,-4.2714,-81.2147,
69,Souillac,MU,66.58,broken clouds,-20.5167,57.5167,
70,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,
75,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,
76,Touros,BR,74.3,few clouds,-5.1989,-35.4608,
78,Hermanus,ZA,60.91,scattered clouds,-34.4187,19.2345,
79,Khatanga,RU,64.76,overcast clouds,71.9667,102.5,
81,Hyderabad,IN,83.71,mist,17.3753,78.4744,
86,Airai,TL,73.33,broken clouds,-8.9266,125.4092,
87,Kapaa,US,80.92,few clouds,22.0752,-159.319,
91,Saldanha,ZA,60.85,broken clouds,-33.0117,17.9442,
92,Jiuquan,CN,82.96,broken clouds,39.7432,98.5174,
