City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Bambous Virieux,MU,2021-06-22 03:37:43,-20.3428,57.7575,66.45,88,75,3.44,broken clouds,0,0
1,Port Elizabeth,ZA,2021-06-22 03:37:43,-33.918,25.5701,71.89,28,0,9.22,clear sky,0,0
2,Steamboat Springs,US,2021-06-22 03:39:55,40.485,-106.8317,71.19,45,1,6.91,clear sky,0,0
3,New Norfolk,AU,2021-06-22 03:37:25,-42.7826,147.0587,50.76,65,100,1.74,overcast clouds,0,0
4,Ushuaia,AR,2021-06-22 03:37:30,-54.8,-68.3,35.26,75,0,11.5,clear sky,0,0
5,Bradu,RO,2021-06-22 03:39:55,44.7833,24.9,64.02,89,2,3.44,clear sky,0,0
6,Dolores,AR,2021-06-22 03:38:52,-36.3132,-57.6792,47.52,82,82,5.1,broken clouds,0,0
7,Tasiilaq,GL,2021-06-22 03:37:45,65.6145,-37.6368,37.56,85,3,1.61,clear sky,0,0
8,Constitucion,CL,2021-06-22 03:37:50,-35.3333,-72.4167,53.98,70,100,6.26,heavy intensity rain,0,0
9,Kirakira,SB,2021-06-22 03:39:56,-10.4544,161.9205,83.64,77,96,10.6,overcast clouds,0,0
10,Santiago De Chuco,PE,2021-06-22 03:39:56,-8.15,-78.1833,48.78,81,85,2.06,overcast clouds,0,0
11,Vaini,TO,2021-06-22 03:38:12,-21.2,-175.2,80.76,78,20,12.66,few clouds,0,0
12,Nanortalik,GL,2021-06-22 03:38:04,60.1432,-45.2371,40.98,94,100,0.69,overcast clouds,0,0
13,East London,ZA,2021-06-22 03:37:48,-33.0153,27.9116,67.14,32,0,6.91,clear sky,0,0
14,Hobart,AU,2021-06-22 03:37:22,-42.8794,147.3294,51.12,83,75,5.75,broken clouds,0,0
15,Cabo San Lucas,MX,2021-06-22 03:33:52,22.8909,-109.9124,85.3,78,15,14.54,few clouds,0,0
16,Rikitea,PF,2021-06-22 03:37:29,-23.1203,-134.9692,75.51,82,89,13.53,overcast clouds,0,0
17,Fairbanks,US,2021-06-22 03:39:57,64.8378,-147.7164,67.01,81,75,4.61,broken clouds,0,0
18,Faanui,PF,2021-06-22 03:38:29,-16.4833,-151.75,79.92,73,0,7.45,clear sky,0,0
