city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,41,93,90,23.02,CA,6/22/21 2:45
1,Grindavik,63.8424,-22.4338,46.35,93,90,12.66,IS,6/22/21 2:45
2,Rikitea,-23.1203,-134.9692,75.15,82,86,12.97,PF,6/22/21 2:45
3,Bredasdorp,-34.5322,20.0403,67.28,67,20,10.36,ZA,6/22/21 2:45
4,Lagoa,39.05,-27.9833,63.61,74,43,8.55,PT,6/22/21 2:45
5,Adrar,20.5022,-10.0711,85.35,15,42,12.37,MR,6/22/21 2:45
6,Kodiak,57.79,-152.4072,47.71,93,90,5.75,US,6/22/21 2:45
7,Punta Arenas,-53.15,-70.9167,33.91,86,0,6.91,CL,6/22/21 2:43
8,Dikson,73.5069,80.5464,33.44,86,54,10.16,RU,6/22/21 2:45
9,Thompson,55.7435,-97.8558,53.76,54,75,3.44,CA,6/22/21 2:45
10,Tiksi,71.6872,128.8694,61.41,52,14,5.01,RU,6/22/21 2:45
11,Lebu,-37.6167,-73.65,52.86,95,100,6.96,CL,6/22/21 2:45
12,Saint George,37.1041,-113.5841,100.99,5,1,9.22,US,6/22/21 2:41
13,Fortuna,40.5982,-124.1573,59.94,68,90,4,US,6/22/21 2:43
14,Barrow,71.2906,-156.7887,42.82,65,1,10.36,US,6/22/21 2:45
15,Qaanaaq,77.484,-69.3632,36,71,20,7.11,GL,6/22/21 2:45
16,Ushuaia,-54.8,-68.3,37.06,75,0,11.5,AR,6/22/21 2:45
17,Te Anau,-45.4167,167.7167,46.17,68,52,0.65,NZ,6/22/21 2:45
18,Khatanga,71.9667,102.5,62.73,54,100,8.08,RU,6/22/21 2:45
19,Busselton,-33.65,115.3333,53.1,70,86,10.74,AU,6/22/21 2:45
20,Cape Town,-33.9258,18.4232,63.88,85,75,11.99,ZA,6/22/21 2:43
21,Viedma,-40.8135,-62.9967,48.67,67,61,13.33,AR,6/22/21 2:45
22,East London,-33.0153,27.9116,68.45,34,10,14.76,ZA,6/22/21 2:45
23,Santa Marinella,42.0345,11.8536,76.41,94,0,6.42,IT,6/22/21 2:45
24,Port Elizabeth,-33.918,25.5701,76.1,32,0,8.05,ZA,6/22/21 2:45
